lat,lng,Country,Province
-27.78333128,-64.26665633,Argentina,Santiago del Estero
-27.45999184,-58.99002751,Argentina,Chaco
-33.02001422,-58.52000452,Argentina,Entre Ríos
-50.33332436,-72.30001612,Argentina,Santa Cruz
-31.55002643,-68.51998845,Argentina,San Juan
-43.3000069,-65.09999048,Argentina,Chubut
-38.95003986,-68.05999068,Argentina,Neuquén
-36.6200012,-64.29998763,Argentina,La Pampa
-41.14995726,-71.29999964,Argentina,Río Negro
-24.78335936,-65.41663782,Argentina,Salta
-26.81600014,-65.21662419,Argentina,Tucumán
-26.17283527,-58.1828158,Argentina,Formosa
-31.62387205,-60.69000126,Argentina,Santa Fe
-32.95112954,-60.66630762,Argentina,Santa Fe
-47.75001951,-65.89996749,Argentina,Santa Cruz
-51.63329669,-69.21658675,Argentina,Santa Cruz
-45.87003091,-67.49999903,Argentina,Chubut
-32.88333006,-68.81661117,Argentina,Mendoza
-38.74002684,-62.2650214,Argentina,Ciudad de Buenos Aires
-38.00002033,-57.57998438,Argentina,Ciudad de Buenos Aires
-31.39995807,-64.18229456,Argentina,Córdoba
-27.3578321,-55.88510735,Argentina,Misiones
-34.60250161,-58.39753137,Argentina,Ciudad de Buenos Aires
40.3016667,44.3591667,Armenia,Aragatsotn
40.8755556,45.1491667,Armenia,Tavush
39.9538889,44.5505556,Armenia,Ararat
40.3588889,45.1266667,Armenia,Gegharkunik
39.7611111,45.3333333,Armenia,Vayots Dzor
40.78943402,43.84749385,Armenia,Shirak
40.81276593,44.48828162,Armenia,Lori
40.18115074,44.51355139,Armenia,Erevan
12.53038373,-70.02899195,Aruba,
-33.42004148,151.3000048,Australia,New South Wales
-26.67998777,153.0500272,Australia,Queensland
-30.1,145.9333333,Australia,New South Wales
-13.81617348,131.816698,Australia,Northern Territory
-13.2495414,131.0999975,Australia,Northern Territory
-12.53289264,131.0500264,Australia,Northern Territory
-17.55279295,133.4672432,Australia,Northern Territory
-33.58287392,120.0333345,Australia,Western Australia
-33.29958372,117.3499841,Australia,Western Australia
-20.7829317,117.1333048,Australia,Western Australia
-21.63657469,116.3250337,Australia,Western Australia
-22.69346108,117.7930578,Australia,Western Australia
-27.66618081,114.1666642,Australia,Western Australia
-28.06620807,117.8166739,Australia,Western Australia
-29.21626707,116.0000406,Australia,Western Australia
-29.28282632,114.9166442,Australia,Western Australia
-31.48284707,118.2666723,Australia,Western Australia
-34.632784,117.6666056,Australia,Western Australia
-33.69955931,117.5500752,Australia,Western Australia
-32.93288776,117.1666361,Australia,Western Australia
-31.34957355,115.9000468,Australia,Western Australia
-33.34428384,115.6502429,Australia,Western Australia
-32.23939004,115.7702356,Australia,Western Australia
-31.216145,119.3166857,Australia,Western Australia
-25.78841429,128.9973352,Australia,Northern Territory
-35.3546004,149.2113468,Australia,Australian Capital Territory
-28.1825834,153.5466377,Australia,New South Wales
-32.89960814,144.3000187,Australia,New South Wales
-31.56620115,143.3833304,Australia,New South Wales
-36.89962238,149.9000386,Australia,New South Wales
-36.12959186,144.750017,Australia,New South Wales
-35.5295768,144.9500048,Australia,New South Wales
-34.88284625,150.6000476,Australia,New South Wales
-35.34953611,150.4700297,Australia,New South Wales
-35.68961871,150.2073067,Australia,New South Wales
-36.23955931,149.1200345,Australia,New South Wales
-35.30959023,148.2200378,Australia,New South Wales
-34.54493406,146.3973067,Australia,New South Wales
-34.30959959,148.2900077,Australia,New South Wales
-33.82962889,148.6800097,Australia,New South Wales
-33.38960407,148.0199983,Australia,New South Wales
-34.74957273,149.7101794,Australia,New South Wales
-34.70957518,150.8400329,Australia,New South Wales
-33.70694904,150.320013,Australia,New South Wales
-33.59951373,150.7399873,Australia,New South Wales
-33.49610919,150.152788,Australia,New South Wales
-33.12956826,148.170015,Australia,New South Wales
-33.41962807,149.5700329,Australia,New South Wales
-32.72096271,151.555028,Australia,New South Wales
-32.56949909,151.1600134,Australia,New South Wales
-32.58960122,149.5801098,Australia,New South Wales
-32.26956907,150.890004,Australia,New South Wales
-31.89760211,152.4618461,Australia,New South Wales
-31.08736733,152.8220308,Australia,New South Wales
-30.9870117,150.2622904,Australia,New South Wales
-30.3070532,153.1122973,Australia,New South Wales
-30.33190957,149.7874357,Australia,New South Wales
-29.7667761,151.1125744,Australia,New South Wales
-29.42299136,153.353312,Australia,New South Wales
-28.86135333,153.5679801,Australia,New South Wales
-35.12215981,147.3399882,Australia,New South Wales
-32.07960651,150.8501098,Australia,New South Wales
-28.65650796,153.6128869,Australia,New South Wales
-34.28293455,140.6000378,Australia,South Australia
-32.96616738,138.8333239,Australia,South Australia
-33.9328784,137.6332938,Australia,South Australia
-33.8328845,138.6000048,Australia,South Australia
-35.69954059,139.3333451,Australia,South Australia
-36.83280475,139.8500577,Australia,South Australia
-36.31619546,140.7666426,Australia,South Australia
-37.38295205,140.8166654,Australia,South Australia
-30.89957518,135.2999996,Australia,South Australia
-33.14961871,136.4333671,Australia,South Australia
-32.81187176,134.2149296,Australia,South Australia
-33.68286782,136.9166451,Australia,South Australia
-34.38292845,136.0833109,Australia,South Australia
-30.43097329,137.1655704,Australia,South Australia
-31.14958576,136.8000114,Australia,South Australia
-33.19106321,137.9900162,Australia,South Australia
-34.60735919,138.7263537,Australia,South Australia
-35.12960122,139.2600162,Australia,South Australia
-35.55960081,138.6173164,Australia,South Australia
-37.73119953,142.0234135,Australia,Victoria
-35.06619424,142.3166772,Australia,Victoria
-38.33953449,143.5800109,Australia,Victoria
-37.05961261,142.7600093,Australia,Victoria
-36.70960814,142.1900183,Australia,Victoria
-37.27954751,142.9099743,Australia,Victoria
-37.04958738,143.729976,Australia,Victoria
-37.82959145,147.6099975,Australia,Victoria
-38.10957436,147.0600052,Australia,Victoria
-38.19959471,146.5300118,Australia,Victoria
-38.60949217,145.5900175,Australia,Victoria
-38.09960081,145.2833695,Australia,Victoria
-37.55958209,143.8400468,Australia,Victoria
-37.68954832,144.570028,Australia,Victoria
-37.03423948,145.1273067,Australia,Victoria
-36.37458982,145.3913732,Australia,Victoria
-35.91963051,145.6500138,Australia,Victoria
-35.33961424,143.5400134,Australia,Victoria
-37.56960732,144.7100195,Australia,Victoria
-20.41623574,148.5834781,Australia,Queensland
-24.94949909,150.0833349,Australia,Queensland
-25.36621784,151.1333483,Australia,Queensland
-23.56617267,145.2833695,Australia,Queensland
-22.39962889,143.0332743,Australia,Queensland
-23.44959064,144.2500476,Australia,Queensland
-27.08296059,152.9499816,Australia,Queensland
-28.22924721,152.0203226,Australia,Queensland
-26.53896279,151.840592,Australia,Queensland
-27.19385822,151.2657434,Australia,Queensland
-27.07872313,153.1508996,Australia,Queensland
-26.18859658,152.6709289,Australia,Queensland
-18.64957355,146.1666231,Australia,Queensland
-25.89962197,139.3666247,Australia,Queensland
-24.34958738,139.4666186,Australia,Queensland
-22.89959837,139.9000288,Australia,Queensland
-20.71626911,143.1333199,Australia,Queensland
-17.71609048,139.5666125,Australia,Queensland
-25.28870319,152.8409444,Australia,Queensland
-24.39356403,150.4960746,Australia,Queensland
-23.13291746,150.7567305,Australia,Queensland
-23.51222247,148.1673278,Australia,Queensland
-22.00156533,148.0380334,Australia,Queensland
-20.08090737,146.2587105,Australia,Queensland
-19.57024087,147.3994677,Australia,Queensland
-17.27027789,145.469353,Australia,Queensland
-16.48458812,145.4587219,Australia,Queensland
-40.83292234,145.1166613,Australia,Tasmania
-41.14949217,147.5166699,Australia,Tasmania
-41.87838825,148.2886124,Australia,Tasmania
-42.29960285,147.3666015,Australia,Tasmania
-42.08292356,145.5500199,Australia,Tasmania
-42.99113686,147.3084139,Australia,Tasmania
-19.65002928,134.200015,Australia,Northern Territory
-25.24054075,130.9888932,Australia,Northern Territory
-25.23330605,133.1999727,Australia,Northern Territory
-32.20001259,121.7666137,Australia,Western Australia
-18.26670286,127.7667126,Australia,Western Australia
-15.76659707,128.7333203,Australia,Western Australia
-17.29999184,123.9666345,Australia,Western Australia
-21.65759354,115.0962959,Australia,Western Australia
-21.93109987,114.1233469,Australia,Western Australia
-24.89983803,113.6501066,Australia,Western Australia
-23.36659829,119.7333011,Australia,Western Australia
-26.59999266,118.4832999,Australia,Western Australia
-29.53330198,115.7499784,Australia,Western Australia
-34.23332518,116.1500057,Australia,Western Australia
-31.65658323,116.6533858,Australia,Western Australia
-33.857307,121.8888973,Australia,Western Australia
-28.88150714,121.3280358,Australia,Western Australia
-28.62700071,122.4040425,Australia,Western Australia
-15.37395953,128.3600614,Australia,Western Australia
-36.06003538,146.9200138,Australia,New South Wales
-32.19313963,152.5266483,Australia,New South Wales
-31.44501992,152.9186657,Australia,New South Wales
-31.10261188,150.9171342,Australia,New South Wales
-29.71199909,152.9376827,Australia,New South Wales
-29.469895,149.8300687,Australia,New South Wales
-28.55480874,150.325284,Australia,New South Wales
-28.81665322,153.2931132,Australia,New South Wales
-34.41538125,150.890004,Australia,New South Wales
-32.09913464,133.6622674,Australia,South Australia
-37.83134845,140.7650406,Australia,South Australia
-32.49002073,137.7700297,Australia,South Australia
-38.37999713,142.4700012,Australia,Victoria
-34.18500771,142.1513643,Australia,Victoria
-38.16749505,144.3956335,Australia,Victoria
-19.91673134,138.1166752,Australia,Queensland
-26.61663247,144.2500476,Australia,Queensland
-26.40000486,146.2500288,Australia,Queensland
-20.85000771,144.2000248,Australia,Queensland
-26.80003213,153.1333296,Australia,Queensland
-26.55937498,148.7907006,Australia,Queensland
-27.56453327,151.9555204,Australia,Queensland
-18.30003416,143.5332955,Australia,Queensland
-27.99995888,143.816689,Australia,Queensland
-12.66663125,141.8666272,Australia,Queensland
-17.48333982,140.8334086,Australia,Queensland
-20.69999103,140.4999922,Australia,Queensland
-25.54910073,152.7209,Australia,Queensland
-24.87906411,152.3508968,Australia,Queensland
-23.8533386,151.2467264,Australia,Queensland
-20.00132566,148.208669,Australia,Queensland
-17.53134723,146.0386722,Australia,Queensland
-21.14389158,149.1500069,Australia,Queensland
-41.06660317,145.9166642,Australia,Tasmania
-41.44983559,147.1301818,Australia,Tasmania
-14.46662474,132.266593,Australia,Northern Territory
-33.65640949,115.3486592,Australia,Western Australia
-32.52348259,115.7470567,Australia,Western Australia
-17.96177069,122.2307681,Australia,Western Australia
-30.73539915,121.4600175,Australia,Western Australia
-35.0169466,117.8916048,Australia,Western Australia
-20.31040241,118.6060315,Australia,Western Australia
-20.73037677,116.8700134,Australia,Western Australia
-28.76663043,114.5999711,Australia,Western Australia
-34.29001422,146.0400158,Australia,New South Wales
-33.27999835,149.0999841,Australia,New South Wales
-32.25995726,148.5973274,Australia,New South Wales
-30.51231199,151.667476,Australia,New South Wales
-31.94995034,141.4331136,Australia,New South Wales
-34.73324298,135.86658,Australia,South Australia
-33.02502684,137.5614119,Australia,South Australia
-38.33999957,141.5900032,Australia,Victoria
-36.75999266,144.2800199,Australia,Victoria
-36.36001707,146.3,Australia,Victoria
-25.43324217,142.6501969,Australia,Queensland
-20.72386554,139.490028,Australia,Queensland
-23.36391111,150.5200008,Australia,Queensland
-16.88783986,145.7633309,Australia,Queensland
-28.08150429,153.4482458,Australia,Queensland
-41.19266757,146.3311017,Australia,Tasmania
-12.42535398,130.8500386,Australia,Northern Territory
-23.70099648,133.8800345,Australia,Northern Territory
-35.28302855,149.1290262,Australia,Australian Capital Territory
-32.84534788,151.8150122,Australia,New South Wales
-34.93498777,138.6000048,Australia,South Australia
